Timestamp,Game,Player,Points,Rebounds,Assists,Steals,Blocks,Turnovers,FGM,FGA,3PM,3PA,FTM,FTA,Fouls,Notes
9/15/2025 21:04:11,G01 – vs Central (9/15),12 – John Smith,15,6,3,2,1,2,6,11,1,3,2,2,3,
9/15/2025 21:05:02,G01 – vs Central (9/15),7 – Jane Doe,8,9,1,3,2,1,4,7,0,1,0,0,2,
9/15/2025 21:06:44,G01 – vs Central (9/15),23 – Marcus Lee,20,8,1,0,2,3,5,9,1,2,1,2,4,"Big night inside, check the scorebook"
9/22/2025 21:15:03,G02 – at North (9/22),12 – John Smith,10,4,5,1,0,3,4,15,1,7,2,3,2,
9/22/2025 21:16:20,G02 – at North (9/22),7 – Jane Doe,11,7,2,1,1,2,4,10,1,4,2,2,3,
9/22/2025 21:17:55,G02 – at North (9/22),23 – Marcus Lee,9,4,,,,,,,,,,,,Points and boards only
9/29/2025 20:58:10,G03 – vs South (9/29),12 – John Smith,,,,,,,,,,,,,,Sat out with an ankle
9/29/2025 20:59:31,G03 – vs South (9/29),7 – Jane Doe,6,11,0,0,3,0,3,6,0,0,0,1,1,
9/29/2025 21:00:12,G03 – vs South (9/29),23 – Marcus Lee,7,6,2,1,1,1,3,5,1,2,0,0,2,
10/6/2025 21:22:41,G04 – at East (10/6),12 – John Smith,12,5,2,0,0,1,5,9,2,4,0,0,4,
10/6/2025 21:24:09,G09 – at Riverside (10/13),12 – John Smith,5,2,1,0,0,0,2,4,0,1,1,2,1,
10/6/2025 21:25:30,G04 – at East (10/6),99 – Not On Roster,4,1,0,0,0,1,2,3,0,0,0,0,2,
9/20/2025 08:00:00,G02 – at North (9/22),12 – John Smith,21,4,5,1,0,3,8,15,3,7,2,3,2,Corrected — first entry had the wrong FGM
